sentence,학습용 분류,저희 개수
"처량하고 슬퍼서 눈물을 흘리면서 엉엉 우는 자도 있었다. 적장들은 저희 편 군사들의 사기가 뚝 떨어지는 것을 알자, ""오늘 밤의",0.0,1
들었어요.” 나는 긴신히 그렇게 말하고 엉거주춤 의자에서 일어났다. “아무쪼록 저희 취지를 이해하시고 널리 알려 주세요.” “그럽시다. 하지만 아무래도 이,1.0,1
"사람에게로 넘어갔습니다. 역시 인수자의 친인척인 분이 학교를 좌지우지하게 되었는데, 저희 학과 인사 문제가 심하게 파행이어서, 제가 순진하게도, 찾아가서, 사리대로",1.0,1
"나으리, 이 스님은 부처를 모시는 정직한 분입니다. 단골로_ 늘 저희 집에 오셨지만 한 번도 거짓말하는 것을 못 보았습니다. 그_",1.0,1
"사정하듯 말했다. ""좀 봐주십시오. 이 돈은 와이셔츠 값으로 받겠습니다. 저희 파출소 근무자들에 사십대 사망률이 전세계에서 가장 높다고 합니다. 얼마나",1.0,1
"일어난 것인데, 저는 그것까지는 짚어내지 못했지요. 선생님은 한달 동안 저희 집에 머무르시면서 제게 의술을 전수해 주셨습니다. 자신의 문하에 모여든",1.0,1
"마냥 행복한 새색시이다. ""시부모님이 너무 좋으세요. 시이모님 내외분으로 인해 저희 결혼이 화제가 되었지만 우리는 사랑해서 결혼했을 뿐이랍니다"" 고민이 많았던지라",1.0,1
“장군님 가시는 데로 저희들도 따라가겠습니다.”,1.0,1
"되는 거예요."" 문천이가 수화기를 확 뺏어들었습니다. ""선생님 저 문천인데요. 저희 매부가 속초까지 버스로 태워다 주신다고 하셨어요!"" 재민이가 전화기를 이어",1.0,1
"한편 이등박문의 내조(來朝)로 말할지면 호시탐탐(虎視耽耽), 이웃 나라를 집어 삼키려는 저희 나라의 국책을 띄우고 움직이는 국가의 대표이거늘, 이 역시 그",1.0,1
"서둘러 찾아왔습니다."" 젊은 아낙은 더욱 난처한 표정을 띠었다. ""그러시다면 저희 집에서 더욱 볼일이 없습니다."" ""예에?"" ""아버님이 의술에서 손을 떼신지가",1.0,1
"의견이 나와야......' '예. 알겠읍니다. 여러 가지로 고맙습니다. 저어, 혹시 저희 회사에서 사람이 오지 않았나요? 야마시다 부장이라고......' '안 왔는데요.' '예에.",1.0,1
"『그래서 유변호사의 말은, 그런 훌륭한 분이라면 저희들의 결혼식 때 주례를 좀 부탁하는 것이 어떠냐구요.』",1.0,1
"고운 아내와 아들이 저를 부르며 달려오고 있는 것만 같습니다. 저희 세 식구의 주검은 가운데에 아들, 아들의 왼편에 아내, 오른편에",1.0,1
"처음이지요 아마?"" ""네, 처음이에요."" ""사장님은 기억력이 보통이 아니시래."" ""한번 저희 가게를 들르신 분은 먼 데서 만나도 압니다."" ""그봐라 금주야.""",1.0,1
호스테스 생활을 시작했는지도 몰라요. 하지만 당초의 목적은 역시 돈이었어요. 저희 집은 퍽 가난하거든요. 아버지가 병석에 눕게 되고 나서부터는 제가,1.0,1
나가서 봉사회 사무실에 기거하게 된 것입니다. 물론 그 뒤로는 저희 부부 사이가 날로 멀어져 간 것은 뻔한 일이죠. 그러나,1.0,1
"넓은 의미의 새로운 문화, 삶의 문화를 모색하고자 창간을 준비해온 저희 잡지의 취지는 선생님이 그간 견지해오신 사상과도 상당 부분 맥을",1.0,1
"몰랐습니다."" ""조금 알아요.""하고 그녀는 계속 한국말로 말했다. ""희망을 가지세요. 저희 교회에서 종교단체를 통해서 구명을 하고 있어요. 사형에서 감형되기라도......"" ""아닙니다.",1.0,1
"같은 불황기에 날로 사업이 번창하는 비결 좀 일러주시구려.] [사장님, 저희 회사도 신경 좀 써주십시오. 물건 우선으로 대주세요. 다음 분기부터는",1.0,1
"할아버지는 소리 높게 혀를 차고 있었다. ""외손주 되는 아이도 저희 학교에 보내 주시고....."" ""그 일은 고맙게 생각하고 있소. 그",1.0,1
"분들은 손톱깎이 하나를 사도 꼭 저한테 오시니까요. 그리구 택시는 저희 동지 중의 한 분이 매일 출퇴근을 시켜주거든요. 동지요? 예,",1.0,1
말로 공자님 앞에서 무엇 읊는 격일 테니까요. 그래서 간청합니다. 저희 대학의 정신적 중시조(中始祖) 노릇을 감당한다 여기시고 적극 힘 좀,1.0,1
"분이네요. 제가 길부장을 알게된 건, 얼마 안돼요. 1년 전에 저희 집에 이발하러 오셔서 알게 되었죠. 우린 짧은 기간이었지만 서로의",1.0,1
"일본 사이에 통상을 회복할 것, 조선 팔도 중에서 네도(四道)를 저희 영토로 할 것, 조선 왕자와 대신을 볼모로 보낼 것",1.0,1
가령 윤 직원 영감이 막고 못 하게 하는 것을 저희 둘이서만 배가 맞아서 살잔즉 서울 아씨의 분재받은 오백 석거리가,1.0,1
"그냥 틈나는 대로 와서 도와드리는 거니까요. 하지만 어젯밤에 신부님이 저희 집에 와서 전화를 하시고는, 오늘은 일찍 손님이 올 테니까",1.0,1
"그랬잖아도 말썽이 잦아서 간신히 학교를 다니는 판이었는데, 의사 아들이라는 저희 반 반장을 두들겨팬 것이었다. 어렵사리 복학을 한 시골 고등학교에서도",0.0,1
일가들 가운데 문장들이 많은즉 전인하여 엄히 닥달하라고 이르겠읍니다. 흠 저희 외삼촌에게 맡기면 가히 사람을 만들어 줄 것 같습니다마는-- 누가,1.0,1
있는 이라크 여자는 조그만 라디오를 가지고 다니며 뉴스를 들었다. 저희 나라에서 차라리 석유가 나지 말았으면 좋겠다는 말도 하였다. 이란이나,0.0,1
하였더니 간 것이 다행이지. 하지만 내가 그렇게 하 였는데 저희들이 안 갈 수 있나. 그 일 땜에 내 돈,0.0,1
출마를 하겠습니까?아이들 몇 데리고 있을 뿐입니다. 조직부장을 맡으셨으니 앞으로 저희 애들이 필요하실 때가 있을 겁니다. 아무 때나 부르기만 하십시오.,1.0,1
"시작되어 저녁 때가 다 되어서야 끝이 났다. ""아버님, 이제 저희 집으로 가시지요."" 김정호가 정낙원에게 그의 집으로 함께 가자고 서둘렀다.",1.0,1
놓은 것이다. 막내 아들놈이 땅에 떨어진 밀감 몇개를 주어서 저희 어머니에게 가져다 준다. 이제 다섯 살 밖에 안 되었는데도,0.0,1
"아버님이 살아 계시지요? 예. 어머님은 돌아가셔서 대모를 얻어드렸어요. 글쎄요. 저희 아버님에게도 그렇게 해드려야 하는 것인데, 자식들이 능력이 없어가지구. 왜요?",1.0,1
"놀랐습니다. ""아기 어쨌어?"" ""주고 왔다.""_ ""줘? 누구에게?"" ""누구긴 누구니, 저희 아빠에게 주어 버렸다."" 해란이는_ 서운하기 이를 데 없었습니다. 한",0.0,1
"한참 뜸을 들이던 말숙이는, 침을 삼키고 말을 이었습니다. ""실은...... 저희 언니를 항상 쫓아다니는 남학생이 있거든요. 얼굴은 여드름 박사지만 말예요.""",1.0,1
"오지 않아도 좋고, 마음이 가난한 자는 복이 있나니 천국이 저희 것이니라는 개뼉다귀 같은 성경말씀 듣지 않아도 좋으며 돼지 모가지",0.0,1
안집 부인에게 애들을 부탁해놓고 나왔다. 제 또래가 되어 철호가 저희 막내하고 잘 싸운데서 그러려며는 당장에 방을 비워 내라고 역성하고,0.0,1
들여서 정신 없을 텐데 적당히 넘어가겠지｣ ｢그건 사실인가?｣ ｢사실인가봐요. 저희 다방에서도 숙덕거리던데요｣ ｢미스 민 같은 여잘 놔두고 어떤 년이,1.0,1
회사에 있는 이라크여자는 조그만 라디오를 가지고 다니며 뉴스를 들었다. 저희 나라에서 차라리 석유가 나지 말았으면 좋겠다는 말도 하였다. 이란이나,0.0,1
그 은혜는 잊지 않겠어요. 그럼 우리 혜린이를 만나게 해드리겠습니다. 저희 집으로 가시죠. 사실 우리는 거기서 모든 것을 끝낼 수가,1.0,1
그는 하암리 대가집 사랑채에 우촌면 주재소 분소를 차려놓고 앉아 저희 일본 사람들 잇속을 채우기에 급급했던 것이다. 도내에서 공출 성적이,0.0,1
때 미리 해 두는 게 더욱 좋을 듯합니다. 아시다시피 저희 집은 이웃과도 외지게 떨어져 있는 데다 어린 사내놈인 저와,1.0,1
"잡아 일으키며 말했다. 그러나 윤태는 보지 않았다. ""여자? 여자라? 저희 서방 마중나가는 여자? 아니면 샛서방 만나러 나아갈 음부(淫婦) 아니리?""",0.0,1
"전하라 하셨습니다. 제가 이 선비와 잘 아는 사이라서…"" ""그렇습니까? 저희 두 사람은 스승도 없이 계룡산 골짜기에서 하늘만 바라보며 수련을",1.0,1
것도 없지만 책임을 면할수는 없는 일 아니겠어요? 그러다가 부장이 저희 사무실에 취직하고 나서 빈둥거리고 있던 노대리도 끌어들였죠. 취직을 시켜줌으로,1.0,1
큰 골목으로 접어들어서 다시 셋째 번 골목 둘째 집이 저희들 집이올시다. 사백오십번지의 십칠호. 한번 교외에 산보 나오시는 일이 계시건,1.0,1
「이래서 저희 여관이 유명 하답니다.」,1.0,1
"싸여 복도의 끝에 서 있었다. 지난 밤에 이사 든 저희 방 앞이었다. ""명아! 왜 그래?"" 다그쳐 물으며 달려가는 명이",0.0,1
"밑천으로 삼자.' 여기 있는 이 흙벽돌들을 보고 이미 짐작하셨겠지만, 저희 어르신들 정말 대단한 분들이었습니다. 콩 하나를 심는 데도 허투로",1.0,1
비겁하게 떼지어 덤비지는 않을 테니까.” 도치는 그렇게 잘라 말하고 저희 패거리를 돌아보며 으름장을 놓았다. “니네들 잘 알아들었어? 여기 함부로,1.0,1
"나 들으라고 일부러 큰 목소리로 말을 했다. ｢담당 형사님, 저희 집에 있는 아가씨도 물건을 찾았고, 제 집에서 일어난 사건이니",1.0,1
"사실은 조 어린애들이 배우기 위해서, 길거리로 헤매다닐 수가 없어서, 저희들로서는 태산 같은 빚을 진 것입니다.",1.0,1
수사가 미궁에 빠진 지금에 와서 그리 중요한 문제가 아닙니다. 저희 직원들은 상부의 문책을 피해 확실한 보고서라도 올려야 할 처지입니다.,1.0,1
"`저, 제 말을 좀 들어 주십시오. 믿으실는지 안믿으실는지 모르겠읍니다만, 저희 친척들 중에는 남한에 나와 있는 분도 많이 있읍니다. 저의",1.0,1
어느새 안내자의 멘트가 흘러 나오고 있었던 것이다. “여러분! 오늘 저희 실내 기염장을 찾아 주셔서 매우 감사합니다. 지금부터 여러분들이 일상,1.0,1
“저희두 외국 여자를 많이 봤지만 그렇게 째인 여자는 처음인데요.”,1.0,1
"여사원 한 명이 우리 과로 배당됐어요. 알고 보니 그앤 저희 고등학교 후배였어요. 그래서 친해졌고, 종더 학창시적의 얘기들을 주고받다 보니",1.0,1
"새겨 넣어야 하는 일이기 때문이었다. 그러던 어느 날이었다. ""아버님, 저희 들어가도 되겠습니까?"" 저녁을 먹고 얼마 지나지 않아 사위와 딸이",1.0,1
"일이 있어. 깜빡했군. 그럼 그쪽에서 보지 어때?"" ""좋아요. 그럼 저희 잘 가던 데 있죠. 거기서 7시 30분 어때요?"" ""좋아.",1.0,1
"이나라가 따라 일어섰다. 만류하려는 기색은 없었다. 그녀는 말했다. ""언제 저희 사무실에 꼭 들르세요. 아니면 앞으로 일할 곳을 가르쳐 주시던가요.""",1.0,1
이상하다는 표정으로 혼잣말같이 했다. 니 큰아배는 백두산에두 가구 그랬다문서... 저희 할아버지에게서 창윤이 할아버지의 여러 가지 무용담을 귀에 못이 박히도록,1.0,1
물가오름세 심리에 편승한 일부 시민들의 무분별한 사재기로 크게 올랐습니다. 저희 협회가 서울 등 지방 5개 도시에서 50여 개 주요소비품목을,1.0,1
애들은 순전히 남의 손에 길려진 셈이다. 어머니날엔 소한테 가라고 저희 아빠가 할 정도로 우유 덕도 많이 보았다. 어미가 직장에,0.0,1
참아 그 꼴은 볼 수 없읍니다. 전라도 군관 놈들의 저희 삿도를 맏고 우자부리는 그 꼴은 진정 말씀이지 배꼽이 시어서,1.0,1
지금도 우리 학교 학생들은 원고지 한장만 맡겨놓으면 외상술을 줍니다. 저희 야구부는 이곳에서 신입생 신고식을 하고 4년 후에 역시 이곳에서,1.0,1
"아세요?"" 미경이는 콩 한 포기를 불끈 뽑아 내팽개쳐 버리고는 저희 집쪽으로 냅다 뛰어갔따. 마구 치달려가는 동안에 우비가 벗겨졌으나 미경이는",0.0,1
미치거나 죽거나 할 것입니다. 아마 미쳐서 달아나서 죽을는지도 모르지요. 저희 삼 남매는 이 음침한 아랫방 구석에서 천덕궁이가 되어서 미칠,1.0,1
"위협에 아내가 홑몸도 아닌 때라, 또 다른 곳도 아니요 저희 모교 마당에 가서 토끼밥을 뜯고 앉아 있는 정상이 어째",0.0,1
“저희는 음악을 알아서 하려 함이 아니올시다. 다만 여러분 어른께서 동정을,1.0,1
그런 죄를 저지를 사람이 아닙니다. 여기 박씨 부인도 계시지만 저희 장사 밑천을 내 주신 분이 김교웁니다.” “건 그렇지 않아.,1.0,1
이순신 장군 동상도 정보부 직원이 지나가면 땀을 뻘뻘 흘린다는데 저희 같은 소시민이야 오죽 하겠습니까? 하여튼 반갑습니다!」 손바닥에서 식은 땀이,1.0,1
조용하고 새침한 현이를 더 곰살곶게 돌보고 기애하던 어머니였다. 현이도 저희 생모를 제쳐놓고 어머니를 더 따랐다. 두 사람이 한덩어리가 되어,0.0,1
"듯했다. 여우할멈하고 수염할아버지하구 누가 더 힘이 장사야? ㅁ의 말은, 저희 형들 누나들과는 달리 또 하나의 다른 각도에서 출발하는 듯했다.",0.0,1
이상한 일이 아닙니다. 성직에 종사하는 것이 저의 천직이고 운명이었지만 저희 가족이나 저를 둘러싼 모든 형편이 제게 그 길을 용납하지,1.0,1
"이의가 없겠지요?"" ""자동차와 발전설비 중에 정 회장님이 자동차를 선택하셨으니 저희 대우는 발전설비를 맡아야 되겠지요."" 김우중이 어쩔 수 없이 발전설비를",1.0,1
그러나 박성권이가 탄실이를 소실로 맞고도 곧 은산 있는 저희 집으로 데려올 수는 없었다.,0.0,1
"누워서 배를 긁적거리고, 딱부리는 하아모니카를 불고, 애꾸는 시골에 있는 저희 어머니에게 어제부터 쓰기 시작한 편지를 쓰느라고 방바닥에 엎드려 낑낑댄다.",0.0,1
"것이어야 하지 않을까요? 마치 온 세상이 우리만 따돌려놓고, 결국 저희 편하게 교사들을 이중인격자로 만들어버리는 것 같다... 이런 생각이 종종",0.0,1
"따라간 저의 죽음을 애통해 하지 말 것을 당부 드리며, 저희 세 식구 하늘 나라에서의 다시는 헤어짐이 없는 만남과 행복을",1.0,1
개비의 담배를 한 손으로 끄집어 내었다. ｢전에 파출부로 있던 저희 부대 대위님께서 찾으십니다. 저는 심부름을 왔읍니다. 대위님께서는 곧 연락이,1.0,1
있었지요. 저도 웅크리고 서서 그 여인을 생각했습니다. 그 여인이 저희 집에 오지 않은 지 열흘쯤 지나고 있었습니다. 궁금했지요. 담배를,1.0,1
조총을 어지럽게 쏘는 것이었다. 쳐들어가는 우리 배를 사격하면서 한편으론 저희 배를 보호하자는 것이었다. 우리 배들은 좌우편으로 편대를 갈라서 장편전과,0.0,1
｢아니 …… 그저. 여러가지로 어려움이 많으시겠읍니다｣ ｢제발 부탁이오. 아이들에겐 저희 어미 얘기를 알리지 않도록 해 주시오. 그 애들에게는 훌륭했던,0.0,1
"몸을 녹이는 판인데, 박상기는 저희 집 식구도 다 안정을 시켜놓고 나서 명선이 식구가 든",0.0,1
제 아비 송근술과 사이가 좋지 않던 어느 작인 하나가 저희 두 형제를 두고 도둑놈의 자식이라고 욕하는 것을 귓결에 듣고는,0.0,1
오늘은 인삼장에서 하룻밤 더 유허시겠다구 허셔서 내일 상경허시기 전에 저희 집에서 아침이나 대접허겠다구 애비가 간청했다구 헙니다. 지체 높구 까다로운,1.0,1
"단장을 만날 작정이었다. 그런데, 명희 그 계집애가 그날 이후로는 저희 집에 가잔 말을 아니했다. 유나는 애가 타서 죽을 지경이었다.",0.0,1
"바쁘신데 수고를 끼쳐드리게 되어 송구스러워요... 여기까지 일부러 오시지 말고 저희 이모님만..."" 그녀는 말하다 말고 이모를 바라보며 방긋이 웃었다. 그녀가",1.0,1
천하게 여기고 그 속에서 나온 자식들도 이렇게 구박하면서 근본되는 저희 사나이들 행실은 조금도 고치지 않으니 나 같은 인생이 자꾸,0.0,1
"진위를알 수가 없고요. 히로시마에서 귀환한 합천 피폭자들을 수소문한 결과 저희 할아버님과 할머님은 밀양땅에서 히로시마로 일찍 건너갔고, 할아버님은 히로시마 동양공업회사",1.0,1
"까닭은, 이 결심을 한 사람들이 남들이 누리는 일생의 행복을 저희들도 꼭 같이 누리면서, 그리고 나서 일은 일대로 하자는 생각의",0.0,1
"알겠는가?"" ""하오나, 마님. 제겐 하나뿐인 혈육입니다. 다 죽고 이제는 저희 남매밖에 없습니다."" ""아비가 다르느니라."" 정휴는 눈물을 뚝뚝 흘렸다. ""그래도",1.0,1
"『그러니까, 뭐 잘난 듯이 저희들은 연애 결혼을 했다고 떠들어대는 친구들의 이야기를 들어 보면, 그것은",0.0,1
"활기있게 말했다. ""저 밑 차 속에 계십니다. 바쁘시지 않으면 저희 이사장님이 좀 뵙자는데요."" ""누굴요, 저를요?"" ""네. 그렇습니다."" 오 마담이",1.0,1
"강주 땅이 있으니 그 땅으로 대신하면 되지 않겠느냐?"" ""하오면 저희 사또께 그렇게 전하겠사옵니다."" 소년이 읍하고 관원들과 함께 물러난다. ""과연",1.0,1
"본때 있게, 그러나 구슬픈 멜로디를 목청껏 뽑아 넘겼죠. 외국인이 저희 나라의 민요를 잘 불러서인지 인기가 대단했읍니다. 장교들도 무척 호감",0.0,1
"개성 開城에서 전화거셨을 제 무어라구 했기에요? 식구나 많다면 모르지만, 저희 단 세 식구가 방을 둘씩이나 비어 두구 피난민인 형님한테",0.0,1
탈세해서 자네들이 찾아내지 못한 것은 아냐. 그럴지도 모릅니다. 하지만 저희 세무사찰반원들이 한 달이나 걸려 찾아내지 못한 탈세가 있다면 그것은,1.0,1
"『저희들이 서로 사랑하는 사이에 있었다고, 저번에는 여러번 말씀드리지 않았어요?』",1.0,1
계에서 비용을 거두자고 다투어 말하였다. 원향이 말하였다. '박수님들보다는 부녀자인 저희 만신들이 가가호호 방문하여 백성들 속 사정을 잘 압니다. 계의,1.0,1
"일어난 것이 상하긴 다 일반, 나두 붕대를 감게 됐지만 저희들두 병원 맛을 보게 됐어. 단주는 팔을 꺾구 세란은 눈알을",0.0,1
왕자들을 잡아 바친 국가와 전가의 일당이 몰살울 당한 뒤에 저희 군사들이 쫓겨서 돌아 오자 발을 동동 굴러 아장들을 꾸짖었다.,0.0,1
상욱이 언젠가 구라파에 갔을 때 그곳 어느 나라 대학생이 저희 나라 대통령의 이름을 기억 못해서 '누구더라. 누구더라.'하는 것을 보고,0.0,1
땀을 닦았다. 정내는 물간 듯이 조용했다. 외국인 방청객들은 서로 저희 나라 말로 수군대고 있었다. 장본인 이준용은 어이가 없는지 멍청하게,0.0,1
"신 아굴라가 특별히 사뢸 말씀은 다름이 아니오라, 수일 전 저희 장정 몇 사람이 가다라 남방에서 강도단과 만나 싸운 뒤",1.0,1
뛰어 달아난다. 一一 흑전장정의 서리 같은 칼이 뒤로 달아나는 저희 편 군사의 목덜미를 번개 같이 갈긴다. 왜병은 두 손을,0.0,1
“그럴 것은 없어. 이미 저희들이 제 죄에 죽었고 또 일을 미연(未然)에 방지(防止)하였으니까 그렇게 자손까지,0.0,1
"게 뭡니까?｣ ｢모르겠는데요.｣ ｢군대에 있을 때 보급이 제 담당이었는데, 저희 보급 창고 옆엔 아카시아가 무성했지요. 그리고 보급 창고 구석엔",1.0,1
"게 남았지요. 무슨 말인지 아실 거요."" ""......"" 말대꾸가 없었다. 저희 입에서 무슨 대꾸를 할 수 있으랴. ""청산한다는 각서를 쓰쇼.",0.0,1
"""반달곰 할머니, 사실은 오늘이 아버님 제삿날이랍니다. 할머니도 잘 아시겠지만, 저희 아버님은 지난번에 저 옹달샘에서 물을 마시다가 그만 허리를 삐는",1.0,1
"동자는 도장 출입문 쪽으로 떨리는 발걸음으로 다가갔다. ""예에 나으리. 저희 나으리께서 이곳 어른께 전하라시면서 서신을 주십디다요."" ""굴림의자가 너의 스승이렷다.""",1.0,1
말은 통하진 못해두. 먹는 것이야 밥 먹구. 주이11) 주이: 저희 먹는 대루 주구. 배가 하두 타고 싶어서 놀러 올라간,0.0,1
따님?｣ 하상은 몇 번이나 더듬으며 소리를 높였다. ｢그럼 오빠는 저희 아버지를······｣ 천인 차림의 하상을 계집아이 매아는 서슴없이 ‘오빠’라고 불렀다.,1.0,1
온 다음에 느낀 분위기가 엄청나게 달라졌다는 거죠. 이건 비단 저희 분야만 그런 것이 아니라 인문계열이나 사회계열도 마찬가지더군요. 지식인 사회의,1.0,1
"맹자에게 이렇게 물었다. ""어르신께서 천리 길을 머다 않고 오셨으니, 저희 나라에 어떤 이익됨을 주시겠읍니까?"" 맹자가 이에 대답했다. ""왕이시여, 어찌",1.0,1
못내 원망을 하고 있는 것 같았던 눈. 그것은 내가 저희 오빠와 함께 산에 가 있는 네 어미를 만나지도 못한,0.0,1
"지낼 때는 남자 중심이잖아요. 가문을 잇는_ 것도 그렇고요. 어제 저희 집에서 그런 문제를 가지고 이야기가 있었어요._ "" 하고 나리는",1.0,1
해서 못 해. 그래서 다 해먹으라고 그랬어. 그랬더니 저가 저희 땅이라고 싹 죄 했잖아?6) 죄 했잖아?: 모두 농사 지어,0.0,1
"인사를 했다. 보니까 그것은 일인상점의 점원 노릇을 하고 있다가 저희 주인과 T에서 물건 사입을 해오던 도중에, 길마재에서 자동차 사고로",0.0,1
"동티요, 노영감 초상의 살이라고 생각하는 것이다. 그러나 정말 그렇다면 저희 내외는 그 때 화개동댁에 있었으나 그 동티, 그 살은",0.0,1
"가출로 이제 다른 학생들을 따라갈 수 없게 됐어요. 저는 저희 집에서 가장 먼저 대학시험을 보는 아이예요. 중학교 때나 1,",1.0,1
"뭣하게 생각되어 좀도 멋있는 것으로 그림을 그려 붙였을 테니까요. 저희 신문사에서도 미리 그런 정도의 융통성은 양해를 하고 있었으니까 말씀입니다.""",1.0,1
인정하셔야 합니다. 손님이 고소를 당하셨다는 사실은 이미 어제 오후에 저희 과장 한 사람이 손님께 직접 고지했다고 알고 있습니다. 그런데도,1.0,1
試驗에 合格 못 하면 勿論 入學할 수 없다. 그러면 저희 高等學校에 入學도 못 할 만큼 敎育한 責任은 누가 지며,0.0,1
"됩니다.” 이 수석은 한결 누그러진 어투로 말렸다. “듣고 보니 저희 생각이 좀 앞서 나간 듯합니다만, 우리로서는 어디까지나 고장의 자랑을",1.0,1
두영은 아버지에게 손을 끌려 다시 걸음을 옮겨 놓으며 지금 저희 집에 편히 잠들어 있을 동네 친구들 모습을 눈 앞에,0.0,1
"그녀가 내게 눈짓을 보냈다. 이제 그만 일어나자는 신호였다. ""스님, 저희 일어나겠습니다. 나중에 다시 들르겠습니다."" ""나는 오는 객 마다 않고",1.0,1
이제 저도 웬만큼 익숙해졌어요. 이해도 하고 동조도 하고요. 저는 저희 집이 그런대로 살아볼 만한 가정이라고 진작부터 단정을 내려두고 있어요.,1.0,1
"않고 말을 이었다. ""아닙니다. 잘 알고 계십니다. 하지만, 어르신. 저희 은행에 맡기시면 다른 은행에서는 받을 수 없는 것을 받으실",1.0,1
"것입니다. 시골에서는 일꾼이 없어 산일 할 사람도 없다더군요. 그래서 저희 동네 친구들과 함께 봉고차를 준비했습니다."" 한수가 그러는데 중년 나이의",1.0,1
않았다. ｢소련?｣ ｢아라사 말입니다. 이현웅 같은 생각을 가진 사람들이 저희 황제를 처형하고 나라 이름을 그렇게 갈았읍니다｣ ｢그렇다면 오래는 못,0.0,1
"약자씨도 힘 좀 써주십시오. 그리고 무슨 급한 일이 생기며 저희 집 우편함에 메모해 주십시오."" 나는 그날부터 영란이와 처가 어른들을",1.0,1
"요양에 필요한 약간액의 경비하고 입언 기간에 손해본 수입액만 받고 저희 동림산업에 사원으로 입사하는 겁니다. 둘째는, 위자료까지 쳐서 피해 보상을",1.0,1
"그날 뉴스 시간의 진행자는 그 사실을 자랑스럽게 보도했다. 한편, 저희 방송에서는 개막식 중계를 하며 맹인들을 위해서 수화방송을 하기로 했습니다.",1.0,1
일이로군. 덕택에 내가 창피를 덜었다. 나으리를 한 번 더 저희 집에 모실 인연이 있어 그랫던가 봅니다. 글쎄. 그런데 참으로,1.0,1
기분이었다. ｢그이가 먼저 생각해 내고 전 기꺼이 동의했을 뿐입니다. 저희 부모님도 만류는 안 하였지만 시방은 누가 그 일을 생각해,1.0,1
"해야 했습니다. ""대감님, 대단히 고맙기는 합니다만 이제 집으로 돌아가서 저희 일을 해야 합니다."" ""응, 그렇지. 그렇다면 나도 더 이상",1.0,1
"둘째 부인을 삼고, 그렇지 않으면 부리는 종년들로 첩을 삼으시니 저희 같은 것들은 중들이 아니면 어떻게 조석을 끓여 먹을 수",1.0,1
